ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
Wine,France Wine,France Red Wine,FRANCE,243975,NUITS SAINT GEORGES - DAVID DUBAND,626990352082,0.75,1,13,129.99,0
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,251876,CABERNET SAUVIGNON - WOLF BLASS YELLOW LABEL,87000308527,0.75,1,14.5,15.99,0
Wine,France Wine,France Red Wine,FRANCE,289447,RESERVE DE LA COMTESSE 2014,,0.75,1,13,70,NA
Wine,France Wine,France White Wine,FRANCE,346310,BARSAC - CHATEAU CLIMENS 2022,696852223164,0.375,1,13,160,NA
Wine,France Wine,France Red Wine,FRANCE,348800,ST ESTEPHE - CHATEAU COS D'ESTOURNEL 2022,,0.75,1,13,550,NA
Wine,France Wine,France Red Wine,FRANCE,348803,ST EMILION - CHATEAU CORBIN 2022,696852223232,0.75,1,13,85,NA
Wine,Italy Wine,Italy Red Wine,ITALY,352740,BARBARESCO RISERVA - PRODUTTORI DEL BARBARESCO MONTEFICO 20,665529012462,0.75,1,14.5,81.99,0
Wine,France Wine,France Red Wine,FRANCE,353646,PAUILLAC - CHATEAU GRAND PUY LACOSTE 2022,696852223102,0.75,1,13,190,NA
Spirits,Whisky,Canadian Whisky,CANADA,354352,MACALONEY'S ISLAND DISTILLERY - NA BRAICHE WHISKY 46,696852144155,0.7,1,46,84.99,NA
Wine,France Wine,France White Wine,FRANCE,362635,PESSAC LEOGNAN - CHATEAU OLIVIER BLANC 2020,3760072796313,0.75,1,13,70,NA
Wine,Canada - BC,Canada - BC White Wine,CANADA,364860,CEDARCREEK ESTATE - SAUVIGNON BLANC NEW ZEALAND 2025,776545502162,0.75,1,13,24.99,1
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,CANADA,392343,FERNIE BREWING - CRAFT COLLECTION PACK CAN,626990464747,0.355,12,5,25.49,NA
Wine,Canada - BC,Canada - BC Red Wine,CANADA,399223,GNEISS - PENDULUM,696852028486,0.75,1,13.7,25.99,0
Wine,France Wine,France White Wine,FRANCE,435854,PESSAC LEOGNAN - CHATEAU BROWN BLANC 2021,3760208652971,0.75,1,13.5,70,NA
Wine,France Wine,France Red Wine,FRANCE,440441,PESSAC LEOGNAN - CHATEAU HAUT BAILLY II 2021,3760278782653,0.75,1,13,80,NA
Spirits,Liqueurs,Fruit Liqueurs,FRANCE,532234,SOHO - LYCHEE,3047100094079,0.75,1,21,34.99,NA
Wine,Other Country Wine,Other Country Red Wine,GEORGIA,688747,SAPERAVI - GODORI,4860009760536,0.75,1,11.5,17.49,0
Wine,Italy Wine,Italy Red Wine,ITALY,779702,LANGHE NEBBIOLO - GIOVANNI ROSSO,8028981067180,0.75,1,13.5,29.99,0
Wine,France Wine,France White Wine,FRANCE,45551,GEWURZTRAMINER - DOMAINE ZIND HUMBRECHT ROCHE ROULEE 2021,3760163409269,0.75,1,14.5,61.99,1
Wine,France Wine,France Red Wine,FRANCE,50107,MEDOC - CHATEAU LES GRANDS CHENES 2018,3609050954935,0.75,1,13,45,NA
Refreshment Beverages,Coolers,Spirit Coolers,CANADA,56788,OKANAGAN APPLE CIDERS EXTRA - HARVEST PEAR,779305105085,2,1,7,10.79,5
Wine,Italy Wine,Italy Red Wine,ITALY,58765,BOLGHERI - LE SERRE NUOVE ORNELLAIA 2018,818201021041,3,1,13.5,399.99,0
Wine,Spain Wine,Spain Red Wine,SPAIN,67915,JUMILLA MONASTRELL - GIL FAMILY ZAGALIN,8437018994663,0.75,1,13.5,8.97,0
Spirits,Tequila,Blanco/Silver Tequila,MEXICO,187156,HORNITOS PLATA,80686835301,0.2,1,40,16.99,NA
Wine,Italy Wine,Italy White Wine,ITALY,244627,SOAVE CLASSICO - INAMA VIN,8029001000149,0.75,1,13,23.99,0
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,377031,NAPA VALLEY RED - DOMINUS ESTATE 2018,636595118150,1.5,1,14.5,1000,0
Wine,France Wine,France Red Wine,FRANCE,388666,MOREY SAINT DENIS - GEANTET PANSIOT 2019,3760163352886,0.75,1,13,110.99,NA
Refreshment Beverages,Coolers,Spirit Coolers,KOREA - SOUTH,411573,HALLASAN - LYCHEE,8809018212793,0.375,1,12,8.39,NA
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,444190,GLENGOYNE - 10 YEAR OLD,5010852026962,0.75,1,43,75.99,NA
Wine,Italy Wine,Italy Red Wine,ITALY,444781,ABRUZZO - CITRA ORTENSE,8005493004728,0.75,1,12.5,14.99,0
Wine,Italy Wine,Italy Sparkling Wine,ITALY,481414,CANELLA - ADVENT CALENDAR,8006233101578,0.2,24,11,169.97,1
Spirits,Rum,Dark Rum,PARAGUAY,678634,EL SUPREMO - 5 YR OLD RUM,8883000002166,0.7,1,38,69.99,NA
Wine,France Wine,France White Wine,FRANCE,798512,CHABLIS - MOSNIER,3559212023101,0.75,1,13,42.99,0
Wine,Germany Wine,Germany White Wine,GERMANY,919969,TONI JOST BACHARACHER HAHN KABINETT 2020,4260015871200,0.75,1,12,39.99,1
Wine,France Wine,France Red Wine,FRANCE,945428,CHATEAU HAUT BRION 2013,,0.75,1,13,800,0
Spirits,Whisky,Blended Scotch Whisky,UNITED KINGDOM,11130,DEWAR'S - WHITE LABEL,622153612048,0.75,1,40,29.49,NA
Wine,France Wine,France Red Wine,FRANCE,39870,POMEROL - CHATEAU LAFLEUR GAZIN 2019,3328155012530,0.75,1,13,85,NA
Wine,Canada - BC,Canada - BC Ice Wine,CANADA,106260,PARADISE RANCH - MERLOT ICEWINE 2022,626990069263,0.2,1,10.5,30.99,10
Spirits,Whisky,American Whiskey,UNITED STATES OF AMERICA,122122,JACK DANIELS PERSONAL SELECTION - 94 PROOF,808755032297,0.75,1,47,72.99,NA
Wine,Germany Wine,Germany White Wine,GERMANY,133959,MOSEL RIESLING SPATLESE - DR LOOSEN WEHLENER SONNENUHR,183103000112,0.75,1,7.5,45.99,7
Wine,France Wine,France Red Wine,FRANCE,188474,ARDECHE SYRAH - SAINT DESIRAT,3331452104136,0.75,1,12,15.99,0
Wine,France Wine,France White Wine,FRANCE,262071,PESSAC LEOGNAN BLANC - CHATEAU LA MISSION HAUT BRION 2011,626990213314,0.75,1,14.5,1100,NA
Wine,France Wine,France Red Wine,FRANCE,262408,ST EMILION - CHATEAU SOUTARD 2016,,0.75,1,13,110,NA
Spirits,Liqueurs,Nut Liqueurs,ITALY,339358,AMARETTO DI SASCHIRA - LUXARDO,8000353120150,0.75,1,24,27.99,NA
Wine,France Wine,France White Wine,FRANCE,359585,CHABLIS - BILLAUD SIMON TETE D'OR 2023,3525135302210,0.75,1,12,62.99,0
Spirits,Whisky,American Whiskey,UNITED STATES OF AMERICA,362465,(REPACK) WESTLAND - AMERICAN SINGLE MALT,850004266342,0.7,1,46,80.99,NA
Wine,France Wine,France Red Wine,FRANCE,372712,PESSAC LEOGNAN - CHATEAU LA MISSION HAUT BRION ROUGE 2022,3701581901393,0.75,1,13,800,NA
Wine,France Wine,France Red Wine,FRANCE,392741,GRAVES - CHATEAU DE CHATEGRIVE 2019,3760084163455,0.75,1,13,40,NA
Wine,France Wine,France White Wine,FRANCE,440333,PESSAC LEOGNAN - CHATEAU PAPE CLEMENT BLANC 2021,696852224529,0.75,1,13,260,NA
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,CANADA,459663,GROLSCH PREMIUM PILSNER TALL CAN,83741473258,0.473,4,5,10.99,NA
Wine,France Wine,France Red Wine,FRANCE,465983,ST EMILION - CHATEAU FAUGERES 2020,3760306310636,0.75,1,13,90,NA
Wine,Chile Wine,Chile Red Wine,CHILE,761205,PINOT NOIR - UNDURRAGA GRAN RESERVA SIBARIS LEYDA VALLEY,7804315304722,0.75,1,13.5,17.99,0
Spirits,Grape and Fruit Brandy,Cognac,FRANCE,61440,HENNESSY - X.O. THE ORIGINAL,88110153052,0.75,1,40,378.99,NA
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,CANADA,162057,BIG ROCK - TRADITIONAL ALE CAN 15 PACK,64294000788,0.355,15,5,24.29,NA
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,202807,THE DALMORE RARE & FINE - 45 YEAR OLD,87647113393,0.75,1,40,24000,NA
Spirits,Whisky,Bourbon Whiskey,UNITED STATES OF AMERICA,245776,ANGEL'S ENVY - KENTUCKY STRAIGHT BOURBON,850047003027,0.1,1,43.3,14.99,NA
Wine,Chile Wine,Chile Red Wine,CHILE,274852,VINEDO CHADWICK - ERRAZURIZ MAIPO 2019,7804304000079,0.75,1,13.5,459.99,0
Wine,Chile Wine,Chile White Wine,CHILE,275586,SAUVIGNON BLANC - SANTA RITA  120,89419007091,0.75,1,13.5,9.99,0
Wine,Other Country Wine,Other Country White Wine,SLOVENIA,332671,GORISKA BRDA SAUVIGNON VERT - MARJAN SIMCIC CLASSIC,3830042033011,0.75,1,13.5,41.99,0
Wine,France Wine,France White Wine,FRANCE,389505,BORDEAUX BLANC - CHATEAU DOISY DAENE 2019,3760021820298,0.75,1,12.5,75,NA
Wine,France Wine,France Red Wine,FRANCE,425155,ST EMILION - CHATEAU FLEUR CARDINALE 2021,,0.75,1,13,95,NA
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,473389,(REPACK)CABERNET SAUVIGNON - STAGS' LEAP NAPA 2021,626990001645,0.75,1,14.1,66.99,0
Wine,Canada - BC,Canada - BC White Wine,CANADA,626408,NK'MIP - CHARDONNAY 2022,836909000038,0.75,1,13.5,22.99,0
Spirits,Vodka,Straight Vodka,CANADA,635219,ALBERTA PURE - PET,80686820314,0.75,1,40,23.49,NA
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,CANADA,682930,LABATT - LUCKY LAGER CAN,62067355370,0.355,15,5,25.79,NA
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,785832,BOWMORE - 18 YEAR OLD,5010496001417,0.75,1,43,216.99,NA
Spirits,Whisky,Other Country Whisky,JAPAN,855445,SUNTORY WHISKY - TOKI,80686957010,0.75,1,43,59.99,NA
Wine,France Wine,France Red Wine,FRANCE,97017,PAUILLAC - CHATEAU DUHART MILON 2018,,0.75,1,13,175,NA
Wine,Canada - BC,Canada - BC White Wine,CANADA,114884,TANTALUS CHARDONNAY 2023,626990067405,0.75,1,13.7,35.99,0
Wine,France Wine,France White Wine,FRANCE,133957,SAUTERNES - CHATEAU DOISY VEDRINES 2018,3277038403555,0.375,1,13,50,NA
Wine,France Wine,France Red Wine,FRANCE,142922,ST ESTEPHE - CHATEAU LAFON ROCHET 2018,,0.75,1,13,110,NA
Wine,France Wine,France Red Wine,FRANCE,157336,POMMARD 1ER - LES PARCELLAIRES DE SAULX  CLOS BLANC,3760032655384,0.75,1,13,165.99,0
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,171991,SHIRAZ VIOGNIER - BLACK CHOOK MCLAREN VALE,872174000069,0.75,1,14.5,19.99,0
Wine,Canada - BC,Canada - BC Red Wine,CANADA,277085,BLAKE BOULEVARD - CABERNET SAUVIGNON 3L,63657045015,3,1,13,35.99,1
Spirits,Whisky,Canadian Whisky,CANADA,286363,MACALONEY ISLAND DISTILLERY - BC SELECT UPSM MOSCATEL CASK,696852200219,0.7,1,46,129.99,NA
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,296684,CABERNET SAUVIGNON - LANGMEIL WILD CHILD,9325387561137,0.75,1,14.5,26.99,1
Spirits,Tequila,Mezcal,MEXICO,325806,ILEGAL MEZCAL - JOVEN,89744757357,0.75,1,40,69.99,NA
Wine,France Wine,France Red Wine,FRANCE,347623,PAUILLAC - CHATEAU HAUT BAGES LIBERAL 2020,3760268700520,0.75,1,13,95,NA
Wine,Italy Wine,Italy Red Wine,ITALY,361363,CHIANTI CLASSICO RISERVA - ISTINE LEVIGNE,8053329320368,0.75,1,13.5,76.99,0
Wine,France Wine,France Red Wine,FRANCE,371537,PAUILLAC - CARRUADES DE LAFITE 2020,,0.75,1,13,525,NA
Wine,France Wine,France Red Wine,FRANCE,381869,ST JULIEN - LES FIEFS DE LAGRANGE 2020,,0.75,1,13,75,NA
Wine,France Wine,France Red Wine,FRANCE,430218,PAUILLAC - CHATEAU CLERC MILON 2021,714153361412,0.75,1,13,200,NA
Spirits,Tequila,Gold Tequila,MEXICO,457595,818 TEQUILA - REPOSADO,860006713423,0.75,1,40,58.99,NA
Wine,France Wine,France Red Wine,FRANCE,465749,PAUILLAC - CHATEAU DUHART MILON 2020,3609051148623,0.75,1,13,180,NA
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,730008,LOCHLEA - OUR BARLEY SINGLE MALT WHISKY,892032200165,0.7,1,46,95.99,NA
Spirits,Gin,Dry Gin,CANADA,776724,SHERINGHAM DISTILLERY - SEASIDE GIN,626990236993,0.75,1,43,45.99,NA
Spirits,Gin,Dry Gin,CANADA,826172,SHERINGHAM DISTILLERY - BEACON GIN,626990237082,0.75,1,43,49.99,NA
Wine,France Wine,France Red Wine,FRANCE,39837,ST EMILION - CLOS LA MADELEINE 2019,3328155013049,0.75,1,13,150,NA
Wine,France Wine,France White Wine,FRANCE,49984,GRAVES - CLOS FLORIDENE BLANC 2018,,0.75,1,13,45,NA
Wine,USA Wine,USA White Wine,UNITED STATES OF AMERICA,137073,CHARDONNAY - SLOW PRESS,81308003542,0.75,1,13.5,19.49,1
Wine,France Wine,France Red Wine,FRANCE,143639,PAUILLAC - PETIT MOUTON ROTHSCHILD 2018,,0.75,1,13,550,NA
Beer,Import Beer,Mexico And Caribbean Beer,MEXICO,156174,DOS EQUIS - LAGER,72311630122,0.355,6,4.6,17.99,NA
Spirits,Gin,Other Gin,JAPAN,219525,ROKU - SAKURA BLOOM EDITION GIN,80686010111,0.7,1,43,53.99,NA
Wine,France Wine,France Red Wine,FRANCE,237233,VENTOUX - LA VIEILLE FERME,631470006348,3,1,13,47.99,0
Wine,France Wine,France Red Wine,FRANCE,301101,CHATEAU LYNCH BAGES 2011,,0.75,1,13,179.99,0
Wine,Canada - BC,Canada - BC Red Wine,CANADA,377820,JACKSON TRIGGS PROPRIETOR'S SELECTION MERLOT,63657008201,1.5,1,12.5,19.99,0
Wine,Other Style Wine,Aperitif And Flavoured Wine,ITALY,383659,MARTINI - FIERO,11034981159,0.75,1,15,22.99,2
Wine,France Wine,France Red Wine,FRANCE,389508,MARGAUX - BLASSON D'ISSAN 2019,,0.75,1,13,70,NA
Wine,France Wine,France Red Wine,FRANCE,412021,MARGAUX - CHATEAU D'ISSAN 2021,3277038422211,0.75,1,13,150,NA
Spirits,Gin,Dry Gin,FRANCE,424245,MAISON FERRAND - CITADELLE JARDIN D ETE GIN,695521152989,0.75,1,41.5,35.99,NA
Wine,France Wine,France Red Wine,FRANCE,450638,PAUILLAC - CHATEAU PICHON BARON 2021,696852186285,0.75,1,13,375,NA
Refreshment Beverages,Coolers,Spirit Coolers,CANADA,454465,BLACK FLY - CLASSIC COCKTAIL MIXER CAN,883043002299,0.355,12,7,27.29,NA
Wine,Italy Wine,Prosecco Wine,ITALY,550111,VALDO - VALDOBBIADENE PROSECCO SUPERIORE MARCA ORO EXTRA DRY,8002335104066,0.75,1,12,24.49,0
Wine,France Wine,France White Wine,FRANCE,573873,MEURSAULT 1ER PERRIERES - DROUHIN,12086342219,0.75,1,13.5,219.99,0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,CANADA,862375,STEAMWORKS - MASH-UP 8 TALL CAN PACK,185902001260,0.473,8,5,22.99,NA
Wine,New Zealand Wine,New Zealand White Wine,NEW ZEALAND,74351,CHARDONNAY - BABICH HAWKES BAY 2024,9414603201169,0.75,1,12.5,22.99,0
Wine,France Wine,France Red Wine,FRANCE,125388,DOMAINE DE CHEVALIER 2016,,0.75,1,13,160,NA
Wine,France Wine,France Red Wine,FRANCE,133383,ST ESTEPHE - LA DAME DE MONTROSE 2018,,0.75,1,13,100,NA
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,134643,GLENFARCLAS - 30 YEARS OLD,5018066304319,0.7,1,43,1000,NA
Spirits,Whisky,Bourbon Whiskey,UNITED STATES OF AMERICA,137673,BUFFALO TRACE - BCL SELECT PERSONAL BARREL 186,626990320166,0.75,1,45,48.99,NA
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,CANADA,236495,COORS LIGHT - CAN,56327004337,0.355,36,4,66.49,NA
Wine,Chile Wine,Chile White Wine,CHILE,284893,SAUVIGNON BLANC - CONCHA Y TORO FRONTERA,7804320043258,1.5,1,12.5,17.99,0
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,306206,GORDON AND MACPHAIL - PRIVATE COLLECTION BENROMACH 1982 BURG,747020933719,0.7,1,60.2,3800,NA
Wine,Italy Wine,Italy Red Wine,ITALY,311555,BARBERA D'ALBA - BATASIOLO,632738100068,0.75,1,13.5,17.99,0
Spirits,Gin,Other Gin,CANADA,322076,EMPRESS - 1908 CUCUMBER LEMON GIN,628451773894,0.75,1,42.5,51.99,NA
Wine,France Wine,France Red Wine,FRANCE,364045,MARGAUX - CHATEAU LASCOMBES 2022,,0.75,1,13,225,NA
Wine,France Wine,France Red Wine,FRANCE,389133,PAUILLAC - CHATEAU GRAND PUY DUCASSE 2019,3760159850112,0.75,1,13,100,NA
Wine,France Wine,France White Wine,FRANCE,389633,PESSAC LEOGNAN - CHATEAU LATOUR MARTILLAC BLANC 2019,3508691219406,0.75,1,13,80,NA
Wine,USA Wine,USA White Wine,UNITED STATES OF AMERICA,477676,CHARDONNAY - KJ LOW CALORIE,81584014294,0.75,1,9,21.99,0
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,496828,CABERNET SAUVIGNON - LOUIS MARTINI SONOMA MONTE ROSSO 2014,85000204535,0.75,1,15.2,149.99,0
Refreshment Beverages,Coolers,Spirit Coolers,CANADA,744052,HEY Y'ALL - GEORGIA PEACH HARD ICED TEA CAN,626990183761,0.341,6,5,13.99,NA
Wine,Canada - BC,Canada - BC White Wine,CANADA,872648,OPEN - CHARDONNAY 2021,63657035054,0.75,1,13.3,13.99,0
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,888974,CABERNET SAUVIGNON - BAROSSA VALLEY ESTATE BAROSSA,9311347003113,0.75,1,13.5,19.99,0
Spirits,Whisky,Canadian Whisky,CANADA,1800,J.P. WISER'S DELUXE,48415345224,1.14,1,40,36.99,NA
Wine,Australia Wine,Australia Fruit and Dessert Wine,AUSTRALIA,42997,SEPPELTSFIELD - PARA TAWNY 100 YEAR OLD VINTAGE 1921 FORTIFI,9340905004033,0.375,1,22,2550,3
Wine,France Wine,France Red Wine,FRANCE,54318,POMEROL - CHATEAU LAFLEUR GAZIN 2018,3328155009103,0.75,1,13,85,NA
Wine,France Wine,France White Wine,FRANCE,79668,COTES DU RHONE VILLAGES - R AND M SAOUMA INOPIA BLANC 2017,7035991557335,0.75,1,14.5,40.99,0
Wine,France Wine,France White Wine,FRANCE,98965,MARGAUX - PAVILLON BLANC DU CHATEAU MARGAUX 2018,3258691631219,0.75,1,14,500,NA
Spirits,Whisky,Canadian Whisky,CANADA,239866,SHELTER POINT DISTILLERY - EVAN'S FAMILY RESERVE TEQUILA CAS,814464003480,0.75,1,46,84.99,NA
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,243799,THE DALMORE PORT WOOD,87647113409,0.75,1,46.5,134.99,NA
Spirits,Liqueurs,Cream/Dairy Liqueurs,CANADA,262095,CANADIAN MAPLE WHISKY - SWEET SIPPIN CREAM,774827001686,0.75,1,16,45.99,NA
Wine,France Wine,France Red Wine,FRANCE,276301,SAVIGNY LES BEAUNE 1ER LAVIERES - CHANDON DE BRIAILLES 2020,3760095961132,0.75,1,13,155.99,0
Wine,Portugal Wine,Portugal White Wine,PORTUGAL,277313,DAO RESERVA BRANCO - SOITO OTIOS,5600753265630,0.75,1,12.5,24.99,0
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,366388,JURA - 14 YEAR OLD AMERICAN RYE CASK,87647114512,0.75,1,40,88.99,NA
Wine,Canada - BC,Canada - BC Red Wine,CANADA,430827,SAWMILL CREEK - RED,63657003039,16,1,12,144.99,0
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,432661,(REPACK)CABERNET SAUVIGNON - S BY RAY SIGNORELLO NAPA,752830477285,0.75,1,15.1,129.99,0
Wine,France Wine,France Red Wine,FRANCE,440996,ST ESTEPHE - CHATEAU CALON SEGUR 2021,3609051257431,0.75,1,13,250,NA
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,441028,NAPA VALLEY RED - SCREAMING EAGLE FLIGHT 2019,696852091008,0.75,1,14.7,2500,0
Wine,Chile Wine,Chile White Wine,CHILE,449056,VIOGNIER - MONTGRAS DE VINE RESERVA COLCHAGUA 2020,7804407006343,0.75,1,13,11.99,0
Spirits,Whisky,American Whiskey,UNITED STATES OF AMERICA,485464,(REPACK)WHISTLEPIG - 6 YEAR OLD PIGGYBACK RYE,850001901116,0.75,1,48.28,56.99,NA
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,510354,GLENFARCLAS - 12 YEAR OLD,5018066112433,0.7,1,43,110.99,NA
Wine,Italy Wine,Prosecco Wine,ITALY,623306,ANNA SPINATO - PROSECCO ROSE ORGANIC & VEGAN,626990209959,0.75,1,11.5,20.99,0
Wine,France Wine,France Red Wine,FRANCE,768721,COTE ROTIE - E GUIGAL LA MOULINE 2017,626990193104,0.75,1,13.5,659.97,0
Wine,France Wine,France Red Wine,FRANCE,12286,CHATEAUNEUF DU PAPE - LA FIOLE DU PAPE,3217661012519,0.75,1,14,60.99,0
Spirits,Rum,Dark Rum,GUYANA,50336,YOUNG - OLD SAM DEMERARA,627040074046,0.75,1,40,29.99,NA
Spirits,Liqueurs,Cream/Dairy Liqueurs,IRELAND,68627,O'DARBY - IRISH CREAM,5099561100132,0.75,1,17,23.99,NA
Wine,France Wine,France Red Wine,FRANCE,110414,COTES DU RHONE VILLAGES - LA FIOLE RESERVE PERE ANSELME,3217661016593,0.75,1,14.5,37.99,0
Wine,Italy Wine,Italy White Wine,ITALY,169990,VERDICCHIO CLASSICO SUPERIORE - MUSONE VIA CONDOTTO,8051764380008,0.75,1,12.5,21.99,0
Wine,France Wine,France White Wine,FRANCE,179259,MEURSAULT - JOSEPH DROUHIN 2023,12086341014,0.75,1,13,165.99,0
Wine,France Wine,France Red Wine,FRANCE,301390,CHATEAU PAPE CLEMENT 2014,714153161715,0.75,1,13,170,0
Wine,France Wine,France Red Wine,FRANCE,341875,BOURGOGNE PINOT NOIR - LOUIS JADOT COUVENT DES JACOBINS,3535923060000,0.75,1,13,36.99,0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,CANADA,352512,NEIGHBOURHOOD BREWING - HAPPY PLACE PALE ALE TALL CAN,696852017770,0.473,4,5.3,14.79,NA
Wine,France Wine,France Red Wine,FRANCE,357743,ST EMILION - CHATEAU LA GAFFELIERE 2020,3609051150954,0.75,1,13,175,NA
Wine,France Wine,France Red Wine,FRANCE,392770,MOULIS - CHATEAU POUJEAUX 2019,,0.75,1,13,75,NA
Wine,France Wine,France Red Wine,FRANCE,465746,ST JULIEN - CHATEAU BEYCHEVELLE 2020,,0.75,1,13,200,NA
Wine,France Wine,France Red Wine,FRANCE,465961,ST JULIEN - SARGET DE GRUAUD LAROSE 2020,,0.75,1,13.5,75,NA
Wine,Argentina Wine,Argentina Red Wine,ARGENTINA,495601,MALBEC - MALBADO MENDOZA,858108007120,0.75,1,14.5,22.99,0
Wine,Canada - BC,Canada - BC Rose Wine,CANADA,838854,ENRICO RED DRAGON,626990191308,0.75,1,11,23.99,1
Wine,Hungary Wine,Hungary White Wine,HUNGARY,16876,TOKAJI FURMINT DRY - CHATEAU DERESZLA 2022,5997409500918,0.75,1,12.5,17.99,1
Wine,France Wine,France Red Wine,FRANCE,50030,HAUT MEDOC - CHATEAU BELLEVUE 2018,3609050940921,0.75,1,13,45,NA
Wine,Italy Wine,Italy Red Wine,ITALY,115215,BAROLO - G.D. VAJRA RAVERA,695798111221,0.75,1,14,129.99,0
Spirits,Gin,Dry Gin,GERMANY,147929,MONKEY 47 - SCHWARZWALD DRY GIN,83089410359,0.375,1,47,55.99,NA
Spirits,Grape and Fruit Brandy,Armagnac,FRANCE,193813,CHATEAU DE LAUBADE - 1888,659651070889,0.5,1,40,8725,NA
Wine,Sake,Japan Sake,JAPAN,256878,DASSAI - JUNMAI DAIGINGO BEYOND,4936446001218,0.72,1,16,859.99,0
Wine,France Wine,France Red Wine,FRANCE,272680,ST EMILION - CHATEAU FAUGERES 2022,3609051349471,0.75,1,13,95,NA
Wine,Canada - BC,Canada - BC White Wine,CANADA,365671,OPEN - CHARDONNAY CELLAR SELECTION 2024,63657046517,0.75,1,13,13.99,1
Wine,France Wine,France Red Wine,FRANCE,389455,ST JULIEN - LES FIEFS DE LAGRANGE 2019,,0.75,1,13,70,NA
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,406496,TALISKER - STORM,88076179028,0.75,1,45.8,94.99,0
Wine,Chile Wine,Chile White Wine,CHILE,435233,CHILEAN WHITE - SEN,696852107273,0.75,1,13.5,12.99,0
Wine,France Wine,France Red Wine,FRANCE,482646,BEAUNE 1ER CHAMPS PIMONT - DOMAINE JACQUES PRIEUR 2022,3760155254082,0.75,1,14,219.99,0
Wine,Fortified Wine,Other Fortified Import Wine,FRANCE,67064,MUSCAT BEAUMES DE VENISE - DOMAINE COYEUX L'OR DES DENTELLES,3760164049020,0.75,1,15.5,35.99,8
Wine,France Wine,France White Wine,FRANCE,76188,PESSAC LEOGNAN - CHATEAU SMITH HAUT LAFITTE BLANC 2019,696852113762,0.75,1,13,280,NA
Wine,Chile Wine,Chile Red Wine,CHILE,121599,CHILEAN RED - CONO SUR BICICLETA,7804320746760,1,1,12,14.99,0
Wine,France Wine,France Red Wine,FRANCE,142842,PAUILLAC - CHATEAU GRAND PUY DUCASSE 2018,3609050945162,0.75,1,13,100,NA
Wine,France Wine,France Red Wine,FRANCE,207495,CHATEAUNEUF-DU PAPE - SANTA DUC LES SAINTES VIERGES SINGLE,3760099850074,0.75,1,15,125.99,0
Wine,France Wine,France White Wine,FRANCE,221361,POUILLY FUSSIE - MICHEL REY EN BULAND,3760149380216,0.75,1,13,59.99,0
Wine,France Wine,France White Wine,FRANCE,229995,CHATEAU MALARTIC LAGRAVIERE BLANC 2016,3609050763360,0.75,1,13,100,NA
Wine,Italy Wine,Italy Red Wine,ITALY,278630,BARBERA D'ALBA - GD VAJRA,695798113225,0.75,1,13.5,33.99,0
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,298632,KILCHOMAN - 13YO 2025,5060210708245,0.7,1,50,179.99,NA
Wine,Germany Wine,Germany White Wine,GERMANY,324135,NAHE RIESLING AUSLESE - DONNHOFF NIEDERHAUS GOLD CAP 2022,4260031852580,0.375,1,9,91.99,5
Wine,France Wine,France Red Wine,FRANCE,412037,MARGAUX - ALTER EGO DE PALMER 2021,,0.75,1,13,160,NA
Wine,France Wine,France White Wine,FRANCE,412409,PESSAC LEOGNAN - CHATEAU PAPE CLEMENT BLANC 2021,3760020787578,0.75,1,13,260,NA
